Store ID,Store Name,Location,Target Sales,Actual Sales,Achievement Rate (%),Year-to-Date Sales,YTD Target,YTD Achievement Rate (%)
S001,Tokyo Central,Tokyo,500000,480000,96.0,4800000,5000000,96.0
S002,Tokyo Shinjuku,Tokyo,480000,520000,108.3,5200000,4800000,108.3
S003,Osaka Central,Osaka,450000,470000,104.4,4700000,4500000,104.4
S004,Osaka Bay Area,Osaka,420000,380000,90.5,3800000,4200000,90.5
S005,Kyoto,Kyoto,350000,360000,102.9,3600000,3500000,102.9
S006,Yokohama,Kanagawa,400000,350000,87.5,3500000,4000000,87.5
S007,Kawasaki,Kanagawa,380000,390000,102.6,3900000,3800000,102.6
S008,Nagoya Central,Aichi,440000,460000,104.5,4600000,4400000,104.5
S009,Nagoya West,Aichi,410000,400000,97.6,4000000,4100000,97.6
S010,Fukuoka,Fukuoka,380000,420000,110.5,4200000,3800000,110.5
S011,Sapporo,Hokkaido,350000,330000,94.3,3300000,3500000,94.3
S012,Sendai,Miyagi,320000,340000,106.3,3400000,3200000,106.3
